,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,clusters,cluster
0,51,1,36,0,51,0,yellow
1,41,1,5,1,41,0,yellow
2,66,1,39,2,66,0,yellow
3,34,1,34,0,20,0,yellow
4,22,0,22,0,6,0,yellow
5,54,1,14,11,54,0,yellow
6,62,1,35,3,62,0,yellow
7,64,1,29,7,64,0,yellow
8,54,1,41,1,54,0,yellow
9,142,3,89,9,142,1,red
10,68,2,68,1,58,0,yellow
11,41,1,24,6,41,0,yellow
12,158,3,139,1,158,1,red
13,158,1,50,1,158,1,red
14,83,1,46,0,83,0,yellow
15,59,1,30,4,59,0,yellow
16,154,3,100,2,154,1,red
17,55,1,47,0,55,0,yellow
18,72,1,4,23,72,0,yellow
19,161,2,71,0,161,1,red
20,28,1,28,2,28,0,yellow
21,118,2,30,2,118,1,red
22,33,0,10,1,33,0,yellow
23,150,3,95,6,150,1,red
24,154,5,0,13,154,1,red
25,81,1,24,1,81,0,yellow
26,67,1,16,2,67,0,yellow
27,62,1,37,1,62,0,yellow
28,31,1,31,0,17,0,yellow
29,56,1,35,0,56,0,yellow
30,77,2,22,15,77,0,yellow
31,44,1,15,0,44,0,yellow
32,30,1,9,2,30,0,yellow
33,30,1,30,1,15,0,yellow
34,79,3,18,5,79,0,yellow
35,34,1,19,7,34,0,yellow
36,51,1,20,5,51,0,yellow
37,77,1,34,0,77,0,yellow
38,61,1,32,3,61,0,yellow
39,32,1,7,2,32,0,yellow
40,64,3,64,4,64,0,yellow
41,29,0,29,0,25,0,yellow
42,51,1,23,0,51,0,yellow
43,247,3,162,1,247,1,red
44,45,1,32,7,45,0,yellow
45,36,1,25,3,36,0,yellow
46,81,2,81,4,56,0,yellow
47,124,2,15,5,124,1,red
48,72,1,26,2,72,0,yellow
49,55,0,32,1,55,0,yellow
50,31,0,31,0,25,0,yellow
51,157,1,89,0,157,1,red
52,60,1,31,1,60,0,yellow
53,153,1,40,0,153,1,red
54,22,0,19,0,22,0,yellow
55,30,1,17,0,30,0,yellow
56,44,1,34,0,44,0,yellow
57,47,1,37,4,47,0,yellow
58,37,0,32,2,37,0,yellow
59,44,1,14,8,44,0,yellow
60,58,2,14,24,58,0,yellow
61,37,0,33,0,37,0,yellow
62,89,3,3,6,89,0,yellow
63,52,2,38,7,52,0,yellow
64,59,2,16,0,59,0,yellow
65,51,1,25,6,51,0,yellow
66,66,1,26,1,66,0,yellow
67,38,1,38,0,13,0,yellow
68,34,1,30,7,34,0,yellow
69,88,2,11,20,88,0,yellow
70,54,1,31,3,54,0,yellow
71,44,1,28,3,44,0,yellow
72,51,1,26,6,51,0,yellow
73,67,2,15,23,67,0,yellow
74,42,1,5,2,42,0,yellow
75,189,2,99,1,189,1,red
76,49,1,25,3,49,0,yellow
77,203,5,203,5,151,1,red
78,35,0,32,0,35,0,yellow
79,90,1,25,2,90,0,yellow
80,67,1,26,1,67,0,yellow
81,36,0,34,1,36,0,yellow
82,48,1,28,4,48,0,yellow
83,41,1,28,10,41,0,yellow
84,19,0,19,1,17,0,yellow
85,73,1,43,0,73,0,yellow
86,45,0,18,1,45,0,yellow
87,170,1,43,0,170,1,red
88,47,1,47,1,36,0,yellow
89,155,3,82,1,155,1,red
90,46,1,9,1,46,0,yellow
91,172,5,2,11,172,1,red
